<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
EURRUB;M;20070201;000000;34.5000000;34.5970000;34.2020000;34.5140000;0
EURRUB;M;20070301;000000;34.5360000;34.7960000;34.3650000;34.6370000;0
EURRUB;M;20070401;000000;34.6380000;35.1280000;34.4800000;35.0710000;0
EURRUB;M;20070501;000000;35.0950000;35.1080000;34.4800000;34.7510000;0
EURRUB;M;20070601;000000;34.7560000;34.9980000;34.5180000;34.8520000;0
EURRUB;M;20070701;000000;34.8110000;35.1710000;34.7360000;35.0040000;0
EURRUB;M;20070801;000000;34.9590000;35.2120000;34.4750000;34.9370000;0
EURRUB;M;20070901;000000;34.9610000;35.6920000;34.3470000;35.4300000;0
EURRUB;M;20071001;000000;35.4520000;35.6870000;35.1470000;35.6680000;0
EURRUB;M;20071101;000000;35.6740000;36.1970000;35.5650000;35.7950000;0
EURRUB;M;20071201;000000;35.8370000;36.1250000;35.4770000;35.7900000;0
EURRUB;M;20080101;000000;35.7610000;36.3620000;35.5810000;36.2900000;0
EURRUB;M;20080201;000000;36.3180000;36.5420000;35.7220000;36.4420000;0
EURRUB;M;20080301;000000;36.3340000;37.2340000;36.4510000;36.9990000;0
EURRUB;M;20080401;000000;36.9970000;37.3540000;36.7550000;36.8740000;0
EURRUB;M;20080501;000000;36.9180000;37.2510000;36.5820000;36.8470000;0
EURRUB;M;20080601;000000;36.8220000;37.2180000;36.5160000;36.8980000;0
EURRUB;M;20080701;000000;36.9760000;37.1360000;36.4630000;36.5470000;0
EURRUB;M;20080801;000000;36.5340000;36.8180000;35.8980000;36.0680000;0
EURRUB;M;20080901;000000;36.0940000;37.0980000;35.8570000;36.0930000;0
EURRUB;M;20081001;000000;36.0990000;36.2460000;33.9410000;34.4930000;0
EURRUB;M;20081101;000000;34.4710000;35.7310000;34.0740000;35.5260000;0
EURRUB;M;20081201;000000;35.5320000;41.8360000;35.2070000;41.2600000;0
EURRUB;M;20090101;000000;41.2330000;46.0450000;38.8780000;45.8090000;0
EURRUB;M;20090201;000000;45.6970000;47.0410000;43.9150000;45.5280000;0
EURRUB;M;20090301;000000;45.4580000;46.0440000;44.3500000;45.1270000;0
EURRUB;M;20090401;000000;44.9740000;45.2030000;43.3320000;43.7680000;0
EURRUB;M;20090501;000000;43.7610000;44.2530000;43.0990000;43.6140000;0
EURRUB;M;20090601;000000;43.5320000;44.1160000;42.9480000;43.7250000;0
EURRUB;M;20090701;000000;43.7120000;46.1610000;43.6440000;44.7220000;0
EURRUB;M;20090801;000000;44.7720000;46.4210000;44.3880000;45.5490000;0
EURRUB;M;20090901;000000;45.5410000;45.7280000;43.7980000;43.9390000;0
EURRUB;M;20091001;000000;43.9380000;44.2730000;42.8410000;42.9120000;0
EURRUB;M;20091101;000000;42.8690000;44.4630000;42.6380000;43.8650000;0
EURRUB;M;20091201;000000;43.8590000;45.3970000;42.2550000;43.1560000;0
EURRUB;M;20100101;000000;43.5330000;43.8480000;41.7720000;42.1110000;0
EURRUB;M;20100201;000000;41.9560000;42.2950000;40.4530000;40.7980000;0
EURRUB;M;20100301;000000;40.7980000;40.9610000;39.2950000;39.7650000;0
EURRUB;M;20100401;000000;39.7560000;39.9850000;38.5870000;38.8210000;0
EURRUB;M;20100501;000000;38.8380000;39.9760000;37.1020000;37.9890000;0
EURRUB;M;20100601;000000;37.9930000;38.8190000;37.5860000;38.2320000;0
EURRUB;M;20100701;000000;38.2260000;39.6390000;38.1160000;39.4810000;0
EURRUB;M;20100801;000000;39.4770000;39.7090000;38.7800000;39.1020000;0
EURRUB;M;20100901;000000;39.0970000;41.8220000;39.0830000;41.6720000;0
EURRUB;M;20101001;000000;41.6690000;43.5780000;41.2750000;43.0060000;0
EURRUB;M;20101101;000000;43.0590000;43.9110000;40.7830000;40.9240000;0
EURRUB;M;20101201;000000;40.9490000;42.0220000;39.6570000;40.8370000;0
EURRUB;M;20110101;000000;40.7370000;41.9840000;39.3070000;40.7758000;0
EURRUB;M;20110201;000000;40.7940000;40.9450000;39.3680000;39.8317000;0
EURRUB;M;20110301;000000;39.8273000;42.8239000;39.0430000;40.2647000;0
