<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
BZ;M;20050401;000000;53.0800000;55.9300000;48.5100000;49.3300000;0
BZ;M;20050501;000000;51.6500000;51.9200000;46.2000000;49.8300000;0
BZ;M;20050601;000000;49.7300000;58.9300000;49.7100000;54.8500000;0
BZ;M;20050701;000000;54.8700000;60.0200000;54.5300000;59.7000000;0
BZ;M;20050801;000000;59.5300000;68.7600000;59.5300000;66.6800000;0
BZ;M;20050901;000000;66.7000000;67.4700000;59.9200000;62.5600000;0
BZ;M;20051001;000000;62.9700000;63.1500000;55.8800000;58.3500000;0
BZ;M;20051101;000000;58.3300000;61.0800000;51.9100000;53.4100000;0
BZ;M;20051201;000000;53.4500000;59.8500000;53.0300000;58.8700000;0
BZ;M;20060101;000000;57.7300000;67.1100000;57.2600000;65.4300000;0
BZ;M;20060201;000000;65.3000000;66.5300000;55.9400000;60.0500000;0
BZ;M;20060301;000000;59.7600000;65.9600000;57.6100000;64.9400000;0
BZ;M;20060401;000000;65.6100000;74.8800000;64.8600000;72.0000000;0
BZ;M;20060501;000000;70.8100000;75.0000000;66.6600000;69.0000000;0
BZ;M;20060601;000000;69.0400000;73.6800000;65.5200000;73.2800000;0
BZ;M;20060701;000000;72.8800000;76.9000000;71.1700000;75.1600000;0
BZ;M;20060801;000000;75.1600000;78.7500000;67.5400000;69.6400000;0
BZ;M;20060901;000000;69.6900000;70.0500000;58.3200000;61.3700000;0
BZ;M;20061001;000000;60.8800000;61.6900000;55.5600000;56.9700000;0
BZ;M;20061101;000000;56.7100000;64.9300000;55.6600000;64.4200000;0
BZ;M;20061201;000000;63.0000000;65.4300000;59.3900000;60.1300000;0
BZ;M;20070101;000000;59.9900000;61.9800000;50.4000000;57.2100000;0
BZ;M;20070201;000000;57.2300000;61.2700000;54.3400000;60.6600000;0
BZ;M;20070301;000000;60.6900000;69.1800000;58.7000000;68.4200000;0
BZ;M;20070401;000000;67.7000000;69.7200000;64.2700000;67.2800000;0
BZ;M;20070501;000000;66.7500000;73.0600000;63.1900000;68.8200000;0
BZ;M;20070601;000000;68.8200000;73.7900000;68.3400000;73.2600000;0
BZ;M;20070701;000000;75.2400000;80.5300000;75.1400000;78.0500000;0
BZ;M;20070801;000000;78.0500000;78.8500000;68.1900000;73.5300000;0
BZ;M;20070901;000000;73.5300000;82.1700000;73.5300000;81.7500000;0
BZ;M;20071001;000000;82.0600000;91.1800000;76.9400000;91.1400000;503751
BZ;M;20071101;000000;91.0200000;96.6500000;87.4100000;88.0000000;753077
BZ;M;20071201;000000;87.9700000;95.8700000;86.5600000;93.8500000;582070
BZ;M;20080101;000000;94.4700000;98.5000000;85.0000000;91.9800000;714965
BZ;M;20080201;000000;91.9100000;101.2700000;86.8300000;100.0400000;720429
BZ;M;20080301;000000;100.1000000;107.9700000;96.9800000;100.5100000;626914
BZ;M;20080401;000000;100.5000000;117.5600000;99.0000000;112.7100000;668036
BZ;M;20080501;000000;112.6900000;135.1400000;108.4200000;128.2700000;629343
BZ;M;20080601;000000;127.2200000;143.9100000;121.3200000;140.3000000;576905
BZ;M;20080701;000000;140.4300000;148.4000000;120.9900000;123.9600000;520900
BZ;M;20080801;000000;124.0200000;127.8800000;110.3400000;115.1700000;489003
BZ;M;20080901;000000;115.5600000;115.5600000;88.9000000;98.9600000;575917
BZ;M;20081001;000000;99.1900000;100.3100000;59.2200000;65.6000000;520392
BZ;M;20081101;000000;65.3900000;67.7600000;47.4000000;53.4900000;527815
BZ;M;20081201;000000;53.0000000;53.0000000;36.2000000;45.5900000;628018
BZ;M;20090101;000000;43.8500000;52.1900000;41.6000000;45.9300000;668603
BZ;M;20090201;000000;46.0600000;49.6000000;39.3500000;45.8400000;485963
BZ;M;20090301;000000;45.5600000;53.8000000;41.6000000;48.6800000;477244
BZ;M;20090401;000000;48.6500000;55.1300000;47.2700000;50.6400000;675383
BZ;M;20090501;000000;50.6800000;65.8000000;49.9600000;65.8000000;865871
BZ;M;20090601;000000;66.0000000;73.5000000;64.9100000;69.4200000;885022
BZ;M;20090701;000000;69.5500000;72.1100000;59.5300000;71.5200000;961429
BZ;M;20090801;000000;71.4600000;76.0000000;68.8500000;69.3200000;881507
BZ;M;20090901;000000;69.3400000;72.2000000;64.0800000;68.9200000;998092
BZ;M;20091001;000000;68.9500000;80.2600000;65.9100000;75.0900000;1093004
BZ;M;20091101;000000;75.2300000;80.1400000;73.7000000;78.3600000;1206788
BZ;M;20091201;000000;78.3200000;79.9100000;71.8500000;77.9300000;961690
BZ;M;20100101;000000;78.4100000;82.9500000;71.0200000;71.1800000;972394
